state,date,new_cases,avg_cases,total_cases,recent_new,color
Arizona,2020-09-25,515,466.0,868830,402.2857142857143,orange
Arizona,2020-09-26,459,477.0,868830,467.85714285714283,orange
Arizona,2020-09-27,411,461.0,868830,459.85714285714283,orange
Arizona,2020-09-28,276,480.2857142857143,868830,466.0,orange
Arizona,2020-09-29,672,487.2857142857143,868830,477.0,orange
Arizona,2020-09-30,326,511.0,868830,461.0,orange
Arizona,2020-10-01,703,502.85714285714283,868830,480.2857142857143,orange
Arizona,2020-10-02,564,511.14285714285717,868830,487.2857142857143,orange
Arizona,2020-10-03,625,536.0,868830,511.0,orange
Arizona,2020-10-04,354,578.1428571428571,868830,502.85714285714283,orange
Arizona,2020-10-05,334,599.0,868830,511.14285714285717,orange
Arizona,2020-10-06,846,617.5714285714286,868830,536.0,orange
Arizona,2020-10-07,621,654.5714285714286,868830,578.1428571428571,orange
Arizona,2020-10-08,849,688.2857142857143,868830,599.0,orange
Arizona,2020-10-09,694,711.5714285714286,868830,617.5714285714286,orange
Arizona,2020-10-10,884,687.4285714285714,868830,654.5714285714286,orange
Arizona,2020-10-11,590,728.8571428571429,868830,688.2857142857143,orange
Arizona,2020-10-12,497,763.0,868830,711.5714285714286,orange
Arizona,2020-10-13,677,772.4285714285714,868830,687.4285714285714,orange
Arizona,2020-10-14,911,775.2857142857143,868830,728.8571428571429,orange
Arizona,2020-10-15,1088,796.2857142857143,868830,763.0,orange
Arizona,2020-10-16,760,837.2857142857143,868830,772.4285714285714,orange
Arizona,2020-10-17,904,884.2857142857143,868830,775.2857142857143,orange
Arizona,2020-10-18,737,898.2857142857143,868830,796.2857142857143,orange
Arizona,2020-10-19,784,880.8571428571429,868830,837.2857142857143,orange
Arizona,2020-10-20,1006,914.5714285714286,868830,884.2857142857143,orange
Arizona,2020-10-21,1009,926.5714285714286,868830,898.2857142857143,orange
Arizona,2020-10-22,966,1007.2857142857143,868830,880.8571428571429,orange
Arizona,2020-10-23,996,1037.142857142857,868830,914.5714285714286,orange
